FoodName;calories;proteins;lipids;carbohydrates;fiber;measure_amount;measure_type;food_group;measure_total_grams;meal_set
Frango - Peito;163.00;31.50;3.20;0.00;0.00;1.00;Porção;Proteína;100.00;2&5
Frango - Sobrecoxa;260.00;28.70;15.20;0.00;0.00;1.00;Porção;Proteína;100.00;2&5
Geleia;60.00;0.00;0.00;15.00;0.00;1.00;Colher de sopa;Doces e derivados;25.00;0&1&3&4
Geleia 100% Fruta;31.00;0.00;0.00;7.50;0.00;1.00;Colher de sopa;Doces e derivados;25.00;0&1&3&4
Goiaba;54.00;1.10;0.40;13.00;6.20;1.00;Unidade Pequena;Frutas;100.00;0&1&3&4
Granola - Mãe terra;96.00;2.00;5.00;11.00;0.00;1.00;Colher de sopa;Cereais, pães e massas;20.00;0&1&3&4
Grão de bico;25.35;1.35;0.00;4.05;0.95;1.00;Colher de sopa;Leguminosas;15.00;2&5
Iogurte Natural MOO;122.00;15.00;6.00;4.00;0.00;1.00;Unidade;Leite e derivados;130.00;0&1&3&4
Iogurte Yorgus - grego;76.00;15.00;0.00;4.00;0.00;1.00;Pote;Leite e derivados;130.00;0&1&3&4
Iogurte Yorgus ultra;160.00;18.00;0.00;22.00;0.00;1.00;Garrafa;Leite e derivados;300.00;0&1&3&4
Iogurte natural;126.00;6.80;7.00;9.10;0.00;1.00;Unidade;Leite e derivados;170.00;0&1&3&4
Isomaltose (Palatinose);60.00;0.00;0.00;15.00;0.00;1.00;Colher de sopa;Açúcar;15.00;1&3&4
Kiwi;51.00;1.30;0.60;11.50;2.70;1.00;Unidade;Frutas;70.00;0&1&3&4
Laranja Baia;45.00;1.00;0.10;11.50;1.10;1.00;Unidade Pequena;Frutas;100.00;0&1&2&3&4&5
Laranja Pera;37.00;1.00;0.10;8.90;0.80;1.00;Unidade Pequena;Frutas;100.00;0&1&2&3&4&5
Leite desnatado;31.00;3.00;0.00;4.50;0.00;0.50;Copo;Leite e derivados;103.50;0&4
Leite desnatado - PÓ;36.00;3.50;0.00;5.00;0.00;1.00;Colher de sopa;Leite e derivados;12.50;0&4
Leite integral;72.00;3.00;3.00;4.50;0.00;0.50;Copo;Leite e derivados;103.20;0&4
Leite integral - PÓ;64.50;3.30;3.55;4.80;0.00;1.00;Colher de sopa;Leite e derivados;12.50;0&4
Leite semidesnatado;39.00;3.00;1.00;4.50;0.00;0.50;Copo;Leite e derivados;103.40;0&4
Lentilha;14.80;1.00;0.08;2.61;0.00;1.00;Colher de sopa;Leguminosas;20.00;2&5
Macarrão (de milho sem glúten);59.00;0.90;1.00;10.00;0.00;1.00;Colher de sopa;Cereais, pães e massas;33.00;2&5
Macarrão Integral;48.70;4.00;0.60;10.00;0.80;1.00;Colher de sopa;Cereais, pães e massas;33.00;2&5
Macarrão tradicional;41.70;1.40;0.30;8.20;0.70;1.00;Colher de sopa;Cereais, pães e massas;33.00;2&5
Mamão Formosa;45.00;0.80;0.10;11.60;1.80;1.00;Fatia Média;Frutas;100.00;0&1&2&3&4&5
Mamão Papaia;40.00;0.50;0.10;10.40;1.00;0.50;Unidade Pequena;Frutas;100.00;0&1&2&3&4&5
Manga Palmer;72.00;0.40;0.20;19.40;1.60;0.25;Unidade;Frutas;100.00;0&1&2&3&4&5
Manteiga com sal;76.00;0.00;8.40;0.00;0.00;1.00;Colher de sopa;Gorduras (de adição);10.00;0
Maçã Fuji;56.00;0.30;0.00;15.20;1.30;1.00;Unidade Pequena;Frutas;100.00;0&1&2&3&4&5
Mel;60.00;0.00;0.00;12.00;0.00;1.00;Colher de sopa;Açúcar;15.00;0
Melado;60.00;0.00;0.00;15.00;0.00;1.00;Colher de sopa;Açúcar;15.00;0
Melancia;33.00;0.90;0.00;8.10;0.10;1.00;Fatia Pequena;Frutas;100.00;0&1&2&3&4&5
Melão;29.00;0.70;0.00;7.50;0.30;1.00;Fatia Média;Frutas;100.00;0&1&2&3&4&5
Mexerica;58.00;0.90;0.10;14.90;3.10;1.00;Unidade Pequena;Frutas;100.00;0&1&2&3&4&5
Morango;30.00;0.90;0.30;6.80;1.70;10.00;Unidade;Frutas;100.00;0&1&3&4
Nibs de cacau;31.75;0.70;3.00;1.70;0.00;1.00;Colher de chá;Frutas gordurosas;5.00;0&1&3&4
Nozes;15.50;0.35;1.48;0.46;0.18;1.00;Unidade;Oleaginosas e sementes;2.50;0&1&3&4
Ovo Codorna;17.70;1.37;1.27;0.06;0.00;1.00;Unidade;Proteína;10.00;0&1&2&3&4&5
Ovo Galinha;73.00;6.65;4.75;0.30;0.00;1.00;Unidade;Proteína;50.00;0&1&2&3&4&5
Palmito Juçara;13.00;1.40;0.00;1.90;3.20;0.50;Xícara;Verduras e Legumes;50.00;2&5
Pasta de amendoim;91.00;4.10;7.00;3.00;1.00;1.00;Colher de sopa;Oleaginosas e sementes;15.00;0&1&3&4
Pepino;10.00;0.90;0.00;2.00;1.10;1.00;Unidade;Verduras e Legumes;100.00;2&5
Pera;61.00;0.20;0.20;16.10;3.00;1.00;Unidade Pequena;Frutas;100.00;0&1&2&3&4&5
Pescada;107.00;16.70;4.00;0.00;0.00;1.00;Porção;Proteína;100.00;2&5
Pipoca;82.00;2.30;1.00;16.00;2.40;0.50;Xícara;Cereais, pães e massas;25.00;1&3
Pão 100% integral - WICKBOLD;57.50;3.40;0.80;9.00;1.90;1.00;Fatia;Cereais, pães e massas;25.00;0&1&3&4&5
Pão sem glúten;62.50;1.10;1.30;11.50;0.00;1.00;Fatia;Cereais, pães e massas;25.00;0&1&3&4&5
Pão sírio;139.00;5.30;0.50;28.00;0.00;1.00;Unidade;Cereais, pães e massas;50.00;0&1&3&4&5
Queijo Cottage;22.50;2.90;0.90;0.65;0.00;1.00;Colher de sopa;Leite e derivados;25.00;0&1&3&4&5
Queijo Mozzarella;106.00;7.50;8.40;0.00;0.00;1.00;Fatia;Leite e derivados;30.00;0&1&3&4&5
Queijo coalho;105.00;7.10;8.50;0.00;0.00;1.00;Espeto;Leite e derivados;60.00;0&1&3&4&5
Quinoa cozida;42.00;1.60;0.70;7.40;0.00;1.00;Colher de sopa;Cereais, pães e massas;33.00;2&5
Quinoa em flocos;63.00;2.60;1.10;10.30;0.00;1.00;Colher de sopa;Cereais, pães e massas;33.00;0&1&3&5
Repolho Branco;17.00;0.90;0.10;3.90;1.90;8.00;Colher de sopa;Verduras e Legumes;100.00;2&5
Salmão;243.00;26.10;26.10;0.00;0.00;1.00;Porção;Proteína;100.00;2&5
Sardinha;285.00;15.90;24.00;0.00;0.00;1.00;Lata;Proteína;100.00;2&5
Semente de abóbora;43.60;1.85;1.95;5.40;3.59;1.00;Colher de sopa;Oleaginosas e sementes;10.00;0&1&3&4
Semente de chia;56.00;2.10;3.85;5.28;0.00;1.00;Colher de sopa;Oleaginosas e sementes;12.50;0&1&3&4
Semente de linhaça;65.00;1.75;4.05;5.40;0.00;1.00;Colher de sopa;Fibras e sementes;12.50;0&1&3&4
Snack grão de bico;107.00;7.00;3.10;14.00;3.50;1.00;Pacote;Leguminosas;30.00;1&3&4
Suco de Laranja - Prats;74.00;1.30;0.00;16.00;1.70;1.00;Copo;Frutas;262.59;0&1&2&3&4&5
Suco de uva integral;121.00;0.00;0.00;29.00;0.00;1.00;Copo;Frutas;212.00;0&1&2&3&4&5
Tamara;21.00;0.20;0.00;5.00;0.00;2.00;Unidade;Frutas desidratadas;15.00;0&1&3&4
